GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos-app,com.increff.employee.controller,SiteUiController,15,0,0,0,4,0,4,0,4,0
pos-app,com.increff.employee.controller,AppUiController,27,0,0,0,7,0,7,0,7,0
pos-app,com.increff.employee.controller,AdminApiController,78,0,2,0,22,0,7,0,6,0
pos-app,com.increff.employee.controller,InventoryController,28,0,0,0,9,0,6,0,6,0
pos-app,com.increff.employee.controller,LoginController,89,0,6,0,20,0,7,0,4,0
pos-app,com.increff.employee.controller,ProductController,28,0,0,0,9,0,6,0,6,0
pos-app,com.increff.employee.controller,OrderController,36,0,0,0,10,0,7,0,7,0
pos-app,com.increff.employee.controller,BrandController,28,0,0,0,9,0,6,0,6,0
pos-app,com.increff.employee.controller,AppRestControllerAdvice,30,0,0,0,7,0,3,0,3,0
pos-app,com.increff.employee.pojo,SchedulerPojo,31,0,0,0,6,0,9,0,9,0
pos-app,com.increff.employee.pojo,OrderItemPojo,38,0,0,0,7,0,11,0,11,0
pos-app,com.increff.employee.pojo,BrandPojo,24,0,0,0,5,0,7,0,7,0
pos-app,com.increff.employee.pojo,UserPojo,31,0,0,0,13,0,9,0,9,0
pos-app,com.increff.employee.pojo,OrderPojo,17,0,0,0,4,0,5,0,5,0
pos-app,com.increff.employee.pojo,InventoryPojo,17,0,0,0,4,0,5,0,5,0
pos-app,com.increff.employee.pojo,ProductPojo,38,0,0,0,7,0,11,0,11,0
pos-app,com.increff.employee.dao,InventoryDao,53,0,0,0,14,0,6,0,6,0
pos-app,com.increff.employee.dao,AbstractDao,19,0,0,0,4,0,4,0,4,0
pos-app,com.increff.employee.dao,BrandDao,107,0,0,0,26,0,9,0,9,0
pos-app,com.increff.employee.dao,UserDao,71,0,0,0,19,0,8,0,8,0
pos-app,com.increff.employee.dao,OrderDao,53,0,0,0,14,0,6,0,6,0
pos-app,com.increff.employee.dao,ProductDao,89,0,0,0,23,0,8,0,8,0
pos-app,com.increff.employee.dao,OrderItemDao,89,0,0,0,22,0,8,0,8,0
pos-app,com.increff.employee.model,BrandForm,17,0,0,0,4,0,5,0,5,0
pos-app,com.increff.employee.model,EmployeeData,10,0,0,0,4,0,3,0,3,0
pos-app,com.increff.employee.model,EmployeeForm,17,0,0,0,7,0,5,0,5,0
pos-app,com.increff.employee.model,OrderData,17,0,0,0,4,0,5,0,5,0
pos-app,com.increff.employee.model,MessageData,10,0,0,0,4,0,3,0,3,0
pos-app,com.increff.employee.model,UserData,24,0,0,0,10,0,7,0,7,0
pos-app,com.increff.employee.model,UserForm,24,0,0,0,10,0,7,0,7,0
pos-app,com.increff.employee.model,OrderItemData,24,0,0,0,5,0,7,0,7,0
pos-app,com.increff.employee.model,ProductData,10,0,0,0,3,0,3,0,3,0
pos-app,com.increff.employee.model,InventoryForm,17,0,0,0,4,0,5,0,5,0
pos-app,com.increff.employee.model,OrderItemForm,24,0,0,0,5,0,7,0,7,0
pos-app,com.increff.employee.model,BrandData,10,0,0,0,3,0,3,0,3,0
pos-app,com.increff.employee.model,AboutAppData,17,0,0,0,7,0,5,0,5,0
pos-app,com.increff.employee.model,ProductForm,38,0,0,0,7,0,11,0,11,0
pos-app,com.increff.employee.model,InfoData,23,0,0,0,10,0,5,0,5,0
pos-app,com.increff.employee.model,InventoryData,10,0,0,0,3,0,3,0,3,0
pos-app,com.increff.employee.model,LoginForm,17,0,0,0,7,0,5,0,5,0
pos-app,com.increff.employee.dto,BrandDto,148,0,10,0,40,0,15,0,10,0
pos-app,com.increff.employee.dto,ProductDto,247,0,18,0,63,0,19,0,10,0
pos-app,com.increff.employee.dto,InventoryDto,132,0,6,0,34,0,13,0,10,0
pos-app,com.increff.employee.dto,OrderDto,341,0,16,0,76,0,20,0,12,0
